ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9538276,HX191669,03/20/2014 05:00:00 AM,053XX S DAMEN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0932,,16,61,07,,,2014,03/21/2014 12:39:35 AM,,,
9539020,HX192178,03/20/2014 05:00:00 AM,005XX N NOBLE ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,false,1215,,27,24,04A,,,2014,03/21/2014 12:39:35 AM,,,
9538028,HX191640,03/20/2014 05:00:00 AM,014XX W 19TH ST,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,1233,,25,31,03,,,2014,03/21/2014 12:39:35 AM,,,
9538996,HX192234,03/20/2014 05:00:00 AM,058XX S MELVINA AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0811,,23,56,06,,,2014,03/21/2014 12:39:35 AM,,,
9537981,HX191613,03/20/2014 04:30:00 AM,121XX S NORMAL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0523,,34,53,08B,,,2014,03/21/2014 12:39:35 AM,,,
9538087,HX191647,03/20/2014 04:00:00 AM,049XX W DIVERSEY AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2521,,31,19,07,,,2014,03/21/2014 12:39:35 AM,,,
9538536,HX191887,03/20/2014 04:00:00 AM,058XX S OAK PARK AVE,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,false,false,0811,,23,56,06,,,2014,03/21/2014 12:39:35 AM,,,
9543830,HX196996,03/20/2014 04:00:00 AM,014XX W LAWRENCE AVE,1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,RESIDENCE,false,false,1913,,47,3,11,,,2014,03/25/2014 12:39:08 AM,,,
9538749,HX191937,03/20/2014 04:00:00 AM,014XX N FAIRFIELD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,1423,,26,24,14,,,2014,03/21/2014 12:39:35 AM,,,
9537979,HX191612,03/20/2014 03:45:00 AM,014XX E 95TH ST,0460,BATTERY,SIMPLE,OTHER,false,false,0413,,8,47,08B,,,2014,03/21/2014 12:39:35 AM,,,
9537984,HX191614,03/20/2014 03:45:00 AM,062XX S TROY ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,false,true,0823,,15,66,26,,,2014,03/21/2014 12:39:35 AM,,,
